消费账号,接口密钥名称,消费接口,消费模型,消费金额,代金券后消费金额,输入消费数,输出消费数,总消费数,消费时间,消费结果
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,20704,0,20704,2026-05-28 04:00-05:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,23169,905,24074,2026-05-28 04:00-05:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,131919,0,131919,2026-05-28 02:00-03:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,156159,14393,170552,2026-05-28 02:00-03:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,429100,0,429100,2026-05-28 01:00-02:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,177508,14163,191671,2026-05-28 01:00-02:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,17044,0,17044,2026-05-28 00:00-01:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,18968,84,19052,2026-05-28 00:00-01:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,3,0,3,2026-05-23 11:00-12:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,257057,1917,258974,2026-05-23 11:00-12:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,18002,0,18002,2026-05-21 17:00-18:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,17942,0,17942,2026-05-21 17:00-18:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,1401,421,1822,2026-05-21 17:00-18:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,461393,0,461393,2026-05-21 16:00-17:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1775699,0,1775699,2026-05-21 16:00-17:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,815282,12066,827348,2026-05-21 16:00-17:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,84104,0,84104,2026-05-21 14:00-15:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,326350,0,326350,2026-05-21 14:00-15:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,264352,562,264914,2026-05-21 14:00-15:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1241541,0,1241541,2026-05-21 03:00-04:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,77929,0,77929,2026-05-21 03:00-04:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,406723,21250,427973,2026-05-21 03:00-04:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,2681645,0,2681645,2026-05-19 14:00-15:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,478665,0,478665,2026-05-19 14:00-15:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,1393681,15732,1409413,2026-05-19 14:00-15:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,2967034,0,2967034,2026-05-19 13:00-14:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,392846,0,392846,2026-05-19 13:00-14:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,1705338,38037,1743375,2026-05-19 13:00-14:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,472485,0,472485,2026-05-19 12:00-13:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,57663,0,57663,2026-05-19 12:00-13:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,74627,7577,82204,2026-05-19 12:00-13:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,41472,0,41472,2026-05-19 11:00-12:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,148,189,337,2026-05-19 11:00-12:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,604928,0,604928,2026-05-19 10:00-11:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,40965,9739,50704,2026-05-19 10:00-11:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,149510,0,149510,2026-05-19 02:00-03:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,70932,3240,74172,2026-05-19 02:00-03:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,91914,0,91914,2026-05-18 23:00-24:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,691399,0,691399,2026-05-18 23:00-24:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,307178,24896,332074,2026-05-18 23:00-24:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,89714,0,89714,2026-05-18 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,283699,0,283699,2026-05-18 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,173191,5773,178964,2026-05-18 22:00-23:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-search,0.0000,0.0000,5,0,5,2026-05-18 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,160,0,160,2026-05-16 23:00-24:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,78202,1077,79279,2026-05-16 23:00-24:00,SUCCESS
主账号,,code_plan_purchase,subscribe,0.0000,0.0000,<nil>,<nil>,0,2026-05-16 08:00-09:00,SUCCESS
主账号,,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,765888,0,765888,2026-05-16 03:00-04:00,SUCCESS
主账号,,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,126479,9877,136356,2026-05-16 03:00-04:00,SUCCESS
主账号,,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,196059,0,196059,2026-05-16 02:00-03:00,SUCCESS
主账号,,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,69742,2716,72458,2026-05-16 02:00-03:00,SUCCESS
主账号,,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,151808,0,151808,2026-05-15 23:00-24:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,52316,0,52316,2026-05-15 23:00-24:00,SUCCESS
主账号,,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,71991,1418,73409,2026-05-15 23:00-24:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,75,590,665,2026-05-15 23:00-24:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,198149,0,198149,2026-05-15 22:00-23:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,43829,0,43829,2026-05-15 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,106172,3311,109483,2026-05-15 22:00-23:00,SUCCESS
主账号,coding_plan,code_plan_resource_package,coding-plan-search,0.0000,0.0000,7,0,7,2026-05-15 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,96569,0,96569,2026-05-14 10:00-11:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,24942,0,24942,2026-05-14 10:00-11:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,1093,1287,2380,2026-05-14 10:00-11:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,23666,0,23666,2026-05-14 04:00-05:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,23714,0,23714,2026-05-14 04:00-05:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,24591,1494,26085,2026-05-14 04:00-05:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,61122,0,61122,2026-05-14 02:00-03:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,254062,0,254062,2026-05-14 02:00-03:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,15747,2623,18370,2026-05-14 02:00-03:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,3400,361,3761,2026-05-13 14:00-15:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,901056,0,901056,2026-05-13 01:00-02:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,52588,6927,59515,2026-05-13 01:00-02:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,240416,0,240416,2026-05-13 00:00-01:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,23344,6713,30057,2026-05-13 00:00-01:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,116973,0,116973,2026-05-12 21:00-22:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,0,1277,1277,2026-05-12 21:00-22:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,12928,0,12928,2026-05-12 04:00-05:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,16277,7374,23651,2026-05-12 04:00-05:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,7993344,0,7993344,2026-05-12 02:00-03:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,240099,58029,298128,2026-05-12 02:00-03:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,324865,0,324865,2026-05-12 01:00-02:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,9220569,0,9220569,2026-05-12 01:00-02:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,641137,47216,688353,2026-05-12 01:00-02:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,22594875,0,22594875,2026-05-12 00:00-01:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,425148,0,425148,2026-05-12 00:00-01:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,842925,79878,922803,2026-05-12 00:00-01:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,45829,0,45829,2026-05-11 23:00-24:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,332170,0,332170,2026-05-11 23:00-24:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,39125,7691,46816,2026-05-11 23:00-24:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1792,0,1792,2026-05-11 03:00-04:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,39340,0,39340,2026-05-11 03:00-04:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,38322,123,38445,2026-05-11 03:00-04:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,340508,0,340508,2026-05-11 00:00-01:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,41682,0,41682,2026-05-11 00:00-01:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,21188,1983,23171,2026-05-11 00:00-01:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1978688,0,1978688,2026-05-10 23:00-24:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,67149,3994,71143,2026-05-10 23:00-24:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,60768,0,60768,2026-05-10 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,32742,2409,35151,2026-05-10 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1824,0,1824,2026-05-10 05:00-06:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,71826,153,71979,2026-05-10 05:00-06:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,337120,0,337120,2026-05-10 04:00-05:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,39202,1756,40958,2026-05-10 04:00-05:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1623136,0,1623136,2026-05-10 03:00-04:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,63482,13155,76637,2026-05-10 03:00-04:00,SUCCESS
主账号,coding_plan,cache-create(Text API),MiniMax-M2.7,0.0000,0.0000,86398,0,86398,2026-05-06 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,929611,0,929611,2026-05-06 22:00-23:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,39321,13346,52667,2026-05-06 22:00-23:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,1324320,0,1324320,2026-05-05 20:00-21:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,198615,14841,213456,2026-05-05 20:00-21:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,561216,0,561216,2026-05-05 01:00-02:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,93356,31341,124697,2026-05-05 01:00-02:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,67872,0,67872,2026-05-05 00:00-01:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,13795,1183,14978,2026-05-05 00:00-01:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,19264,0,19264,2026-05-04 20:00-21:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,16590,99,16689,2026-05-04 20:00-21:00,SUCCESS
主账号,coding_plan,cache-read(Text API),MiniMax-M2.7,0.0000,0.0000,306048,0,306048,2026-05-04 19:00-20:00,SUCCESS
主账号,coding_plan,chatcompletion-v2(Text API),MiniMax-M2.7,0.0000,0.0000,42215,5517,47732,2026-05-04 19:00-20:00,SUCCESS
